"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000066438.6_Plekhd1",5.32477441947735,-3.25446490753641,0.501113850877308,-6.49446209047858,8.33306093104015e-11,1.12421325020663e-06
"ENSMUSG00000004341.7_Gpx6",21.6224864768581,-1.68694210360389,0.274147688230267,-6.15340626978758,7.58362041575493e-10,3.41035410096499e-06
"ENSMUSG00000032357.12_Tinag",8.92415757041659,4.12993846681309,0.667596809787548,6.18627651640124,6.16019127959148e-10,3.41035410096499e-06
"ENSMUSG00000042589.18_Cux2",45.9126360236862,-3.08045651211316,0.541709399098167,-5.68654802231876,1.29632945124686e-08,3.49775612535428e-05
"ENSMUSG00000049493.13_Pls1",5.85009374334274,2.48858593120941,0.435521875123011,5.71403200012978,1.10330237473919e-08,3.49775612535428e-05
"ENSMUSG00000000440.12_Pparg",62.4641429834429,0.912877986411981,0.164148077676155,5.56130781021378,2.6776044515683e-08,3.62442530023953e-05
"ENSMUSG00000006218.4_Fam131c",13.8507481884248,1.05104538897916,0.189012267774035,5.56072577381953,2.6865505153358e-08,3.62442530023953e-05
"ENSMUSG00000031444.16_F10",2913.57100781162,-0.372406392543041,0.0666785061888741,-5.5851040137006,2.33560384629178e-08,3.62442530023953e-05
"ENSMUSG00000032591.15_Mst1",830.290418591118,-0.290078616915712,0.0514634846597799,-5.6365910476796,1.73449350362392e-08,3.62442530023953e-05
"ENSMUSG00000066000.12_Zfp979",11.9992873762726,1.59175575049588,0.28562765625457,5.57283482758128,2.50627171159964e-08,3.62442530023953e-05
"ENSMUSG00000023019.12_Gpd1",2319.98183642153,0.501953686883265,0.0929787534800996,5.39858481745187,6.7168611835176e-08,8.23792492971236e-05
"ENSMUSG00000034634.7_Ly6d",29.320459775479,2.6252637763043,0.489473867769506,5.36344011227283,8.16517314615712e-08,9.17969590956715e-05
"ENSMUSG00000031765.8_Mt1",85.2213488354621,-1.74039525773337,0.326793598006131,-5.32567121373265,1.00580922809314e-07,0.000104379786893882
"ENSMUSG00000002944.15_Cd36",324.971811367157,0.962612832767933,0.181774492673677,5.29564307185839,1.18598293665448e-07,0.000110977270142637
"ENSMUSG00000004936.8_Map2k1",203.191471187106,0.277991304023853,0.0525662315643138,5.28840085642693,1.23390338161704e-07,0.000110977270142637
